arch,encoder_name,pretrained,val_dice,val_iou,val_loss
SegFormer,MiT-B0,False,0.9340468049049376,0.8816251158714294,0.0630051866173744
SegFormer,MiT-B0,True,0.899313747882843,0.8269543647766113,0.0911909341812133
SegFormer,MiT-B1,False,0.9465806484222412,0.9031786322593688,0.0504569746553897
SegFormer,MiT-B1,True,0.0894386991858482,0.0477327108383178,0.4764275848865509
SegFormer,MobileNetV2,False,0.890498161315918,0.8133092522621155,0.1054624021053314
SegFormer,MobileNetV2,True,0.9271039962768556,0.8712878227233887,0.0684939101338386
SegFormer,MobileOne-S0,False,0.8335937261581421,0.7258095741271973,0.1610274314880371
SegFormer,MobileOne-S0,True,0.9395708441734314,0.8911665081977844,0.0568650178611278
SegFormer,MobileOne-S1,False,0.830956757068634,0.720072865486145,0.1532799899578094
SegFormer,MobileOne-S1,True,0.9269731640815736,0.8720474243164062,0.0685546249151229
SegFormer,MobileOne-S2,False,0.8392562866210938,0.7320719361305237,0.160344660282135
SegFormer,MobileOne-S2,True,0.9162205457687378,0.8552964329719543,0.0786973088979721
SegFormer,MobileOne-S3,False,0.8347971439361572,0.7260984778404236,0.160814881324768
SegFormer,MobileOne-S3,True,0.9302440881729126,0.8772837519645691,0.0683867260813713
SegFormer,mobileone_s4,False,0.8615545630455017,0.7661523222923279,0.1414761692285537
SegFormer,mobileone_s4,True,0.9341133236885072,0.8828503489494324,0.0639920607209205
SegFormer,ResNet18,False,0.9366123676300048,0.8859571218490601,0.0586130544543266
SegFormer,ResNet18,True,0.902166485786438,0.8317575454711914,0.0868052244186401
SegFormer,ResNet34,False,0.9431466460227966,0.8962587118148804,0.0552801489830017
SegFormer,ResNet34,True,0.919266939163208,0.8603675961494446,0.0752022340893745
SegFormer,VGG11,False,0.9072219133377076,0.8426833748817444,0.0836305394768714
SegFormer,VGG11,True,0.9311416149139404,0.8792486190795898,0.0651309415698051
SegFormer,VGG13,False,0.90766578912735,0.8436265587806702,0.086788885295391
SegFormer,VGG13,True,0.9293742179870604,0.876441478729248,0.066556766629219
SegFormer,VGG16,False,0.93015855550766,0.8773049712181091,0.0680792927742004
SegFormer,VGG16,True,0.9286723732948304,0.8726688027381897,0.0664217993617057
SegFormer,VGG19,False,0.9060495495796204,0.8447821736335754,0.0871513038873672
SegFormer,VGG19,True,0.9407482743263244,0.893021821975708,0.0554722659289836
U-Net,EfficientNet-B0,False,4.184569791371162e-12,4.184569791371162e-12,0.5775301456451416
U-Net,EfficientNet-B0,True,0.8948326706886292,0.8192939758300781,0.1014800891280174
U-Net,EfficientNet-B1,False,4.184595812223302e-12,4.184595812223302e-12,0.6282651424407959
U-Net,EfficientNet-B1,True,0.8988566994667053,0.8285411596298218,0.0996570587158203
U-Net,EfficientNet-B2,False,4.184591475414612e-12,4.184591475414612e-12,0.6590924859046936
U-Net,EfficientNet-B2,True,0.8945562243461609,0.8256860375404358,0.1011440679430961
U-Net,EfficientNet-B3,False,0.000952961447183,0.000477207096992,0.5807887315750122
U-Net,EfficientNet-B3,True,0.904483675956726,0.8360936045646667,0.0915470719337463
U-Net,EfficientNet-B4,False,2.191537987528136e-06,1.0960682175209513e-06,0.5712199807167053
U-Net,EfficientNet-B4,True,0.8980287313461304,0.8317667245864868,0.102951630949974
U-Net,MiT-B0,True,0.8992887139320374,0.8267776966094971,0.104103110730648
U-Net,MiT-B0,False,0.9200981259346008,0.8587081432342529,0.0795489624142646
U-Net,MiT-B1,True,0.4392363727092743,0.2939088642597198,0.4857170283794403
U-Net,MiT-B1,False,0.8997626304626465,0.8243945837020874,0.0930289700627327
U-Net,MobileNetV2,True,0.917473077774048,0.8596420884132385,0.0827248021960258
U-Net,MobileNetV2,False,0.8760820627212524,0.790759265422821,0.1234333291649818
U-Net,MobileOne-S0,True,0.9310689568519592,0.8797896504402161,0.0717036798596382
U-Net,MobileOne-S0,False,0.8678146600723267,0.7758182287216187,0.128468707203865
