arch,encoder,normalization,pretrained,train_dataset_length,test_dataset_length,parameter_count,inference_time,last_val_loss,last_val_dice,last_val_iou,last_val_train_loss,best_val_loss,best_val_dice,best_val_iou,best_val_train_loss
unet,vgg11_bn,zscore,other-dataset,252,1243,18258385,3.3207248044013977,0.04732053068766935,0.9537166755044068,0.9189954245176799,0.017609044909477234,0.04726534954190542,0.9497502933848988,0.908628832785621,0.0295164528642855
unet,vgg11_bn,zscore,same-dataset,252,1243,18258385,3.398155529499054,0.04613164058876728,0.9556827514476577,0.921729927952982,0.01841492625692534,0.0437361777625972,0.9561571948296201,0.9224277797094392,0.020448760587781195
unet,vgg13_bn,zscore,scratch,252,1243,18443281,4.315312962532044,0.055455919819691446,0.9380215624121054,0.8881661138127911,0.03551614686610207,0.05091657273753075,0.9469818850246439,0.9045667456506437,0.041193155837910514
unet,vgg13_bn,zscore,other-dataset,252,1243,18443281,4.351380815505982,0.05010963083572284,0.9511781916537787,0.9152227817575297,0.02101021520202122,0.04926616020278881,0.9525262505799076,0.915629156731063,0.02589827367947215
unet,vgg13_bn,zscore,same-dataset,252,1243,18443281,4.331031675338745,0.05661441581151414,0.9468325041803927,0.9056447022208646,0.020597039352333736,0.041938910597960795,0.9581621987917495,0.9248812929431182,0.0226783509114905
unet,vgg19_bn,zscore,scratch,252,1243,29067793,5.621187500953674,0.07375436866609492,0.9225117544540933,0.8732217369018211,0.04071361299545046,0.056496905119473764,0.9405694203518709,0.894946753547159,0.04542175656746304
unet,vgg19_bn,zscore,other-dataset,252,1243,29067793,5.614742727279663,0.07711933746226642,0.9239827621779131,0.8715819292076153,0.021040930072703058,0.04893266313131644,0.9486752668888647,0.9055591922370254,0.030618083145883348
unet,vgg19_bn,zscore,same-dataset,252,1243,29067793,5.611408948898315,0.057882901505894556,0.9451404864617345,0.9053860792496083,0.018293952850240564,0.04093216520255358,0.9595592472693274,0.9288875605920007,0.021149665058132202
deeplabv3+,efficientnet-b0,zscore,scratch,252,1243,4906893,7.0461987161636355,0.13286117047718812,0.8549235049314491,0.7724457151546463,0.024390758916972174,0.11237714413856174,0.8779466656648816,0.8055330826597452,0.025797079598146772
deeplabv3+,efficientnet-b0,zscore,other-dataset,252,1243,4906893,6.969520626068115,0.08555500373567963,0.9115882529813439,0.8515871374816159,0.021006660476799995,0.062296583469318746,0.9332087448500667,0.8814778492897629,0.021759645274234195
deeplabv3+,efficientnet-b0,zscore,same-dataset,252,1243,4906893,6.921434860229493,0.07183483087143779,0.9258312991043299,0.8713084210912163,0.022227826572599866,0.07183483087143779,0.9258312991043299,0.8713084210912163,0.022227826572599866
deeplabv3+,efficientnet-b1,zscore,scratch,252,1243,7412529,9.81898401260376,0.13560331434802672,0.8647137919646161,0.7894056927074086,0.023206891255482795,0.13031605454289136,0.8705758354113357,0.7944067002110009,0.024440105708818587
